"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"12","0.7364623983774115","0.9966912269592285","122.8720591426675","104.59918536971102","0.9941672086715698","132.08002227583742","94.50134007276688","0.9897224307060242","112.58440404156455","93.91693385301438","0.8101437091827393","147.38479115604576","99.16924130600111","0.7866926193237305","96.27850700827206","101.75799614560289","0.9956186413764954","173.01982804840688","166.4805778570935","0.989526629447937","86.73102883731619","164.48245968438883","0.9925784468650818","214.32425704656865","231.26193156284572","0.9814590811729431","46.205950967626634","232.572869494953","0.9234094619750977","157.7392258986928","239.76163881014935","0.9478518962860107","81.10684263939952","230.88439401272126","0.9653707146644592","159.5068838082108","313.91426559043146","0.960175096988678","101.02089875663808","316.2376309285122","0.0793551430106163","148.75879225388073","352.2744075808905","0.0676877573132515","111.72954484528186","333.80156120367815","0.023193426430225372","169.6319699754902","256.18234279936394","0.01621728204190731","95.16922296262256","260.9175150373341"
"13","0.7373743238037124","0.9964939951896667","124.09386329401553","105.063900567789","0.9933441877365112","132.46971379697712","94.76461494918419","0.9897213578224182","113.5391534543505","94.57348038664962","0.7915715575218201","146.90972222222223","99.69750868535675","0.7923953533172607","96.19818793402779","101.8767959459693","0.995729386806488","172.5193078533497","166.75931947421185","0.9901641607284546","86.13054661968955","163.72587760992812","0.9931100606918335","213.0706667432598","232.98339843750003","0.9855581521987915","43.409870621425654","232.78689224108132","0.9245897531509399","155.6637593188317","239.0095290462528","0.948207437992096","80.37736481311275","231.17389510163167","0.964557945728302","158.12495212928923","313.77892958379425","0.9615355134010315","101.49939044628269","314.7792687880255","0.09097788482904434","148.86902254391342","352.48687474073563","0.07954675704240799","116.54079861111111","326.0952515728706","0.02081800065934658","168.43722873263889","255.24346545734238","0.017041999846696854","113.01124323427288","326.11916871197457"
"14","0.7391532049240435","0.9965169429779053","123.41884637969773","105.23194439643254","0.9933211207389832","132.36857894199346","95.23794258590294","0.99006587266922","112.9965708614175","94.70681519634957","0.8116174936294556","146.50093826593138","99.51437891057108","0.7886491417884827","96.68960471558415","101.89875239819553","0.9960117340087891","172.37362132352942","166.30868557280147","0.9898304343223572","86.59388722937092","164.91402144980643","0.9924760460853577","212.37968494689542","232.3656848468612","0.9852149486541748","43.05863922717525","232.56389246577712","0.9320809245109558","157.72681142769608","240.5543396536228","0.9517224431037903","82.82134012459152","231.38736691095136","0.9659675359725952","157.59120966094773","314.91826690403764","0.9601085186004639","100.90490802440769","316.5813182729536","0.09149395674467087","148.35059870302288","351.80099082204094","0.07809098809957504","115.71448631535948","325.039786279729","0.02404770255088806","168.94917407066995","254.95691350076052","0.01838867925107479","112.51901265063317","325.4747995022124"
"15","0.7361224575296921","0.9962234497070312","122.98453935610704","105.8845047402171","0.9929161071777344","132.33681672538808","95.20250438588911","0.9896166324615479","112.61889488868465","95.23103156975941","0.7975950837135315","146.9906715941585","99.61469802181279","0.7738326787948608","96.42749661713644","101.43671086404177","0.9951651096343994","173.11631944444446","167.00882903242535","0.990071713924408","86.35844311683007","164.94860083655976","0.99289470911026","211.0653786254085","232.19204252800057","0.9867439866065979","42.358422372855394","232.56954767007744","0.9254502654075623","159.7928315206291","239.9527976787196","0.9541338086128235","81.700479345384","234.755113989906","0.9653254747390747","158.29921747344773","316.0947114387445","0.9533681273460388","99.4592524509804","318.6290531664823","0.08046669512987137","144.98153786254085","325.6633495229536","0.08022245764732361","115.2881098728554","325.8308991288717","0.023535646498203278","169.41977507148692","254.47991565265488","0.016519831493496895","139.44533803104576","252.83517483061397"
"16","0.7353143754469997","0.9967047572135925","123.11869702308007","105.56249837959763","0.9932034015655518","132.59054744944854","92.85978334139935","0.9902240633964539","113.03056704452615","94.89244039079784","0.7991397380828857","147.1170023999183","99.64288492118364","0.7596736550331116","97.31544245302288","101.07047562050609","0.9957206845283508","173.72542636846407","168.12541590327712","0.9911360740661621","86.09968596813727","164.79472742671462","0.9928176403045654","211.72559551164218","231.88667769980643","0.9858837723731995","43.55246151194853","233.9851960038717","0.9174137115478516","155.6198618770425","237.32839398679482","0.9672926068305969","84.34817644505719","231.46446565611174","0.9475798606872559","165.43752233966504","310.13201958310293","0.9511317014694214","98.73013365502452","314.4916797739215","0.0903170108795166","144.70814823325165","325.9782909292036","0.08947458863258362","115.82317676419527","326.4541382916206","0.01695474050939083","168.7621751174428","253.8550398835039","0.015676375478506088","139.06285105187908","253.36648856644084"
"17","0.7344791374224073","0.9965936541557312","123.66875542534723","105.30484629943308","0.9928305745124817","132.26372612847223","94.84663161556279","0.9895623326301575","113.61814012714461","94.56581588340018","0.7799510359764099","147.10656658496734","99.09512410121683","0.7550160884857178","98.73420266544119","101.08433006084071","0.9951428174972534","175.1104856004902","168.4530126521018","0.9955590963363647","82.13819316789215","161.15799355295908","0.9924864172935486","211.4648916207108","231.95854254528487","0.9878756999969482","40.65091800066381","237.57636416274892","0.9128798246383667","159.60195503982845","236.08112166413167","0.9750790596008301","83.95922691993465","227.62819543349008","0.9640998840332031","160.694619970384","316.8400641247235","0.9486541152000427","97.62653824550654","319.05771441164273","0.08873496949672699","155.28795828227126","349.4452174363938","0.07370641082525253","116.64635352839053","327.27646009056974","0.020577074959874153","167.6236340890523","255.31730719372237","0.01739628054201603","138.65459367340688","254.79634782909295"
"18","0.7327498077031445","0.9963782429695129","124.003946142259","106.04213748357994","0.9931475520133972","132.30876448886846","94.51179977011893","0.9897165894508362","113.95591586243873","95.21523264657081","0.7781837582588196","146.61913105085785","98.52362438640765","0.7543158531188965","98.15384210324756","101.73252342021571","0.9949097037315369","175.30694699754903","166.4912563087666","0.9957516193389893","81.63158541411357","161.6030208621405","0.9919419288635254","214.03100107230392","231.7756963409154","0.9868229627609253","45.25752846711602","239.09160242671462","0.9255587458610535","161.54437295751634","236.82538868051716","0.9738185405731201","85.66828310100082","226.31746815369195","0.960661768913269","162.23639195261438","315.7267504666759","0.9397898316383362","99.4113338694853","318.10465854881085","0.07299996167421341","157.36015369689542","353.3679523299226","0.0664282739162445","118.48466860702615","326.20073976769913","0.021765265613794327","168.64329618566177","256.49402719683354","0.01455613225698471","113.10760697508171","326.14347474764935"
"19","0.733678802902646","0.9965243339538574","124.243794360192","106.16173128111174","0.9932554960250854","132.10307202308007","94.39090154867257","0.9900723695755005","114.13977130565769","95.29566942063055","0.7682725191116333","146.51340060763889","99.31211218369747","0.7492227554321289","99.41095090379902","105.97243587527656","0.9946986436843872","173.2333633323121","166.79720448181695","0.989565372467041","85.20637063419119","160.72576742256638","0.9923499822616577","214.95870353349673","233.12633413129151","0.9846938848495483","44.38472573274102","238.43201763862004","0.9389693140983582","162.16568691278596","235.99846493881364","0.9810104966163635","73.62200967626634","212.57396056588775","0.9612072110176086","159.24707350388073","312.89474082204094","0.9451202154159546","94.12317612591912","309.7432526444967","0.07830124348402023","156.19461358762257","355.8246119676438","0.0712447315454483","118.67595996732027","326.3230153311671","0.022582145407795906","170.60264437806373","255.56218240113387","0.015448934398591518","115.3494402318219","326.9546805862832"
"20","0.734220708720386","0.996506929397583","124.2264093137255","105.936827533013","0.9926667809486389","131.79559046926062","94.03674640486726","0.9903170466423035","113.9764683542688","94.66867902637584","0.7848203182220459","146.08265995200165","99.33632099522954","0.7452754378318787","97.01966528799021","101.27492178857855","0.9948275685310364","172.01396867340688","168.08780636407633","0.9900262355804443","82.78860453686683","161.75454468853707","0.9924732446670532","215.02085567299838","234.32078133642148","0.9800707697868347","43.01806082133374","240.67522167104536","0.9458280801773071","161.76711537479576","234.0236319482854","0.9846954941749573","70.31899445976308","213.7634169316925","0.9594159126281738","158.21984783496734","316.0641506498894","0.9482305645942688","87.24600598703023","310.6922250933352","0.07154673337936401","156.1957146139706","350.73042337873346","0.06954274326562881","32.343678193933826","340.40787688398785","0.021997975185513496","171.75315308415034","254.04190468577158","0.013510213233530521","64.31788625280842","230.22145499170355"
"21","0.732578543946147","0.9963986873626709","123.69719062755311","105.2927013836076","0.9918374419212341","132.65642552593954","94.6239073086629","0.9897128343582153","113.41174555759804","94.67365366167728","0.7888296246528625","146.04916641135623","99.02615167398369","0.7275193333625793","96.10981860191994","102.9789126235827","0.9943996071815491","170.72948580473857","167.350328833656","0.9882829785346985","83.78427542892157","160.74751322248343","0.9912967681884766","216.35571448631538","234.15101177924504","0.9688498377799988","39.97449687882966","243.07596122269084","0.9476402401924133","160.30621297998366","231.888055041828","0.9857383370399475","60.281064899918306","215.28330575048398","0.9588949680328369","159.93408203125","316.70942728498346","0.9559990763664246","86.11804438572304","311.65772564643254","0.0724417120218277","154.0902969260621","349.95204689228433","0.061754051595926285","27.330561619178923","340.5878387721239","0.018877455964684486","173.03059895833334","254.3677189919801","0.015362292528152466","29.793170604830475","335.08754493915933"
"22","0.7314295501941267","0.9965001344680786","124.07296772875817","106.0882217272193","0.9921572208404541","132.4005246629902","94.58846910864906","0.9896760582923889","113.8610919628268","95.65826686082688","0.8003455996513367","145.96724366830065","99.34182226130393","0.7154139876365662","96.12072514552696","103.85175856868779","0.9941993951797485","171.7587060866013","166.97220793867535","0.9891762137413025","82.44797251582925","160.8494041240321","0.9914109110832214","215.75313393586603","234.38209736241706","0.9624907374382019","41.35719448912378","241.3830458379425","0.9475995302200317","159.75300308925654","232.07526012859515","0.9855809807777405","58.8922119140625","217.32122100560014","0.9512558579444885","158.26500587214053","317.16757985342923","0.9558786749839783","86.02646771599265","311.54410303166486","0.06977560371160507","152.27898092830884","350.9651548672567","0.060967039316892624","116.56381644454657","328.12545371266594","0.017063535749912262","172.80603745404412","254.00149185045632","0.01481087226420641","30.159102296517567","332.6086857888551"
"23","0.7335282233817613","0.9965760111808777","123.70481004901961","105.39688515452158","0.9924216866493225","132.59387446384804","94.83767079041068","0.9893208742141724","113.67568072150736","94.95223323855781","0.8018168807029724","145.5753261591095","99.38654536694553","0.7204588651657104","96.26269371680965","103.34469415445244","0.9947116374969482","171.33769914215688","167.54822857612004","0.9891547560691833","83.49871068218955","160.1158965794386","0.991908609867096","213.18533305249184","233.8196232888551","0.9698102474212646","42.18493891697304","240.92080985550334","0.950188398361206","160.96877553104576","233.30781919766318","0.987567663192749","59.96616338592729","218.57915557591264","0.9440130591392517","158.55789483762257","309.96003007466817","0.9532932639122009","89.36151641646242","309.39898195519913","0.07567628473043442","152.89135901756538","351.1562651237556","0.07813677936792374","27.63860964307598","339.44253837112836","0.019619932398200035","172.87093418096407","254.4623666948977","0.015304847620427608","31.32181404462827","335.417458863385"
"24","0.7328499097596196","0.9965154528617859","123.40129378574348","105.90017403121544","0.9927929639816284","131.65875204248366","94.07732128042036","0.9889593124389648","113.09163411458334","95.00334072956997","0.7748188376426697","145.40479473039215","99.43653478031666","0.7335485816001892","97.04997542636848","101.76806694638414","0.9943891167640686","171.44647735396242","166.09675314574116","0.9897298812866211","85.35887874029821","160.08159266108962","0.9914913773536682","215.43294270833334","233.53315235239216","0.9777605533599854","44.855853311376634","237.18725693964328","0.9469000101089478","162.4997766033497","235.29339545595965","0.9849899411201477","64.87925411049837","219.13738419524338","0.9485512971878052","159.22650505514707","308.37799882466817","0.9536945223808289","90.29659096711602","307.62016904037614","0.07124282419681549","155.20895565257354","357.07173845409295","0.078340545296669","61.31255106209151","347.67901125207413","0.02069251798093319","171.39048457924838","255.49775520257194","0.014030730351805687","116.2567577486724","325.79991703539827"
